Station_name,Lat,Lon,Elev,YY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Rainfall
Snyrivier N (Nimmerrust),-27.47,19.61,,2019,4.5,4.5,0,3,0,0,0,0,0,0,0,0,
Naos (Kharas),-27.21,18.97,,2019,0,30.8,,0,0,0,,,,,,,
Keetmanshoopt_Manual,-26.54,18.11,,2019,0,32.8,0.6,0,0.8,0,0,0,,,,,
Haremub,-25.6,16.35,,2019,0,1.5,0,3,0,0,0,0,0,2.5,0,,
Kub-Suid,-24.23,17.5,,2019,0,21,3,5,0,0,0,0,0,0,0,35,
Rheinpfalz (Khomas),-23.53,17.99,,2019,5,17.5,1.5,6,0,0,,,,,,16.5,
Gomnab,-23.68,18.27,,2019,2.8,3.6,6.4,26.6,0.2,0,0,0.1,,,,36.4,
Olifantwater,-23.67,18.39,,2019,13.6,24.6,1,41.2,0.4,,0,0,0,0,0,21.7,
Monica,-23.4,19.02,,2019,15,34,,,,,,,,,,,
Walvis Bay_Manual,-22.98,14.65,91,2019,0,0,0,0,0,0,0,0,0,0,0,0,
Aandrus,-22.65,16.45,,2019,0,,2.5,6,,,,,,12.5,,13.5,
Hochfels second,-22.57,16.78,,2019,0,14.9,44,4.9,,,,,,,,,
Claratal,-22.8,16.83,,2019,0,,63.1,,,0,0,0,0,10.5,1.1,53.1,
Eros_Manual,-22.61,17.08,,2019,1.2,7.4,26.6,15.2,3.4,0,0,0,0,18.4,2.4,71.4,
Pioniers Park,-22.6,17.07,,2019,33.6,15.4,57,30.6,5,0,0,0,0,18.4,4.6,166.4,
Windhoek_Manual,-22.57,17.09,1721,2019,4.2,7.6,22.7,4.4,2.2,0,0.6,0,0,0.2,9.2,59.2,
Binsenheim,-22.78,17.38,,2019,10.5,26,26.5,20,1.5,0,0,0,0,0,0,50.5,
Bitterwater,-22.83,17.78,,2019,7,27,8,21,0,0,0,0,,,,,
Westfalenhof,-22.26,16.42,,2019,0,4.7,28.5,0,0,0,0,0,0,5,0,22.4,
Swakop Poort RG,-22.21,16.53,1169,2019,0,,,,,,,,,7.6,1.4,45.4,
Otjiseva,-22.3,16.93,,2019,21.9,19.2,87.9,5,0,0,0,0,0,7,7.7,40.8,
Sonleitten,-22.5,17.4,,2019,10.5,9,24.5,9,13,,,,,,,9,
Bodenhausen,-22.33,17.62,1657,2019,16.5,36.5,20.5,15,,,,,,,,,
Ovitoto ADC,-21.98,17.22,1518,2019,,,,,,,,,,3.8,8.4,54,
Okahua,-22.16,17.78,1656,2019,38,24.9,36.8,,,,0,0,0,,5.7,,
Omateva,-22.26,18.15,,2019,9.7,27,28.1,7.9,,0,,,,0.2,0,99.5,
Wilhelmstal,-21.91,16.32,,2019,2.5,6.5,20.5,40,,0,0,0,,0,,18,
Otjombuindja,-21.63,16.48,,2019,13.5,8.5,35,27.5,0,0,0,0,,,,,
Okahandja,-21.98,16.92,,2019,17.9,23.9,34.1,17.7,0,0,0,0,0,0,7.4,67.3,
Ombakatjiwinde,-21.7,17.7,,2019,7,40,25,2,0,0,0,0,0,12,0,12.7,
Monteith,-21.12,17.7,,2019,32,21,3.2,2,,0,0,,0,13,,,
Ondunduwazirapi,-21.66,17.82,,2019,48,60,27.5,,0.4,0,0,0,0,1.3,0,152,
Steinhausen,-21.82,18.23,,2019,39.5,76,,19.5,,,,,,,,,
Otjinene ADC,-21.14,18.79,1449,2019,,,,,,,,,,,14.5,87.5,
Omatjette (closed),-21.03,15.48,,2019,0,13,45,0,0,0,0,0,0,0,0,46,
Etendero,-21.22,15.73,,2019,1.7,0,13.7,1.3,,,,,,,,6.8,
Eheratengua,-21.13,16.17,,2019,27,7,33,31,,,,0,0,1,0,,
Ombona,-21.04,16.22,,2019,56.3,5.6,52.3,53.9,,0,0,0,0,12,6,69.9,
Otjikururume,-21.12,17.22,,2019,24,5.5,36.5,18,,0,0,0,0,9,0,,
Eureka,-21.2,17.82,,2019,30.2,,27.4,,,,,,,,7.7,,
Kalidona,-21.28,18.07,,2019,62.5,68.5,14.5,1.5,0,0,0,,0,0,0,129.5,
