Year,Month,Rainfall,LTA,rainfall_annn0maly,STDIV,SPI,drought_occurrence,drought_severity,Lat,Lon,elev,Station_name
2019.00,Jan,4.50,108.13,-108.13,86.57,-1.25,1,1,-27.47,19.61,1160.201373,Snyrivier N (Nimmerrust)
2019.00,Jan,0.00,108.13,-108.13,86.57,-1.25,1,1,-27.21,18.97,1160.201373,Naos (Kharas)
2019.00,Jan,0.00,108.13,-108.13,86.53,-1.25,1,1,-26.54,18.11,1160.201373,Keetmanshoopt_Manual
2019.00,Jan,0.00,108.13,-108.13,86.49,-1.25,1,1,-25.6,16.35,1160.201373,Haremub
2019.00,Jan,0.00,108.13,-103.13,86.49,-1.19,1,1,-24.23,17.5,1160.201373,Kub-Suid
2019.00,Jan,5.00,108.13,-105.33,86.46,-1.22,1,1,-23.53,17.99,1160.201373,Rheinpfalz (Khomas)
2019.00,Jan,2.80,108.13,-94.53,86.44,-1.09,1,1,-23.68,18.27,1160.201373,Gomnab
2019.00,Jan,13.60,108.13,-93.13,86.44,-1.08,1,1,-23.67,18.39,1160.201373,Olifantwater
2019.00,Jan,15.00,108.13,-108.13,86.42,-1.25,1,1,-23.4,19.02,1160.201373,Monica
2019.00,Jan,0.00,108.13,-108.13,86.40,-1.25,1,1,-22.98,14.65,91,Walvis Bay_Manual
2019.00,Jan,0.00,108.13,-108.13,86.40,-1.25,1,1,-22.65,16.45,1160.201373,Aandrus
2019.00,Jan,0.00,108.13,-108.13,86.32,-1.25,1,1,-22.57,16.78,1160.201373,Hochfels second
2019.00,Jan,0.00,108.13,-106.93,86.30,-1.24,1,1,-22.8,16.83,1160.201373,Claratal
2019.00,Jan,1.20,108.13,-74.53,86.21,-0.86,0,0,-22.61,17.08,1160.201373,Eros_Manual
2019.00,Jan,33.60,108.13,-103.93,86.20,-1.21,1,1,-22.6,17.07,1160.201373,Pioniers Park
2019.00,Jan,4.20,108.13,-97.63,86.23,-1.13,1,1,-22.57,17.09,1721,Windhoek_Manual
2019.00,Jan,10.50,108.13,-101.13,86.22,-1.17,1,1,-22.78,17.38,1160.201373,Binsenheim
2019.00,Jan,7.00,108.13,-108.13,86.20,-1.25,1,1,-22.83,17.78,1160.201373,Bitterwater
2019.00,Jan,0.00,108.13,-108.13,86.17,-1.25,1,1,-22.26,16.42,1160.201373,Westfalenhof
2019.00,Jan,0.00,108.13,-86.23,86.17,-1.00,1,1,-22.21,16.53,1169,Swakop Poort RG
2019.00,Jan,21.90,108.13,-97.63,86.08,-1.13,1,1,-22.3,16.93,1160.201373,Otjiseva
2019.00,Jan,10.50,108.13,-91.63,86.09,-1.06,1,1,-22.5,17.4,1160.201373,Sonleitten
2019.00,Jan,16.50,108.13,0.00,86.09,0.00,0,0,-22.33,17.62,1657,Bodenhausen
2019.00,Jan,108.13,108.13,-70.13,86.07,-0.81,0,0,-21.98,17.22,1518,Ovitoto ADC
2019.00,Jan,38.00,108.13,-98.43,86.07,-1.14,1,1,-22.16,17.78,1656,Okahua
2019.00,Jan,9.70,108.13,-105.63,86.08,-1.23,1,1,-22.26,18.15,1160.201373,Omateva
2019.00,Jan,2.50,108.13,-94.63,86.06,-1.10,1,1,-21.91,16.32,1160.201373,Wilhelmstal
2019.00,Jan,13.50,108.13,-90.23,86.06,-1.05,1,1,-21.63,16.48,1160.201373,Otjombuindja
2019.00,Jan,17.90,108.13,-101.13,86.06,-1.18,1,1,-21.98,16.92,1160.201373,Okahandja
2019.00,Jan,7.00,108.13,-76.13,86.05,-0.88,0,0,-21.7,17.7,1160.201373,Ombakatjiwinde
2019.00,Jan,32.00,108.13,-60.13,86.01,-0.70,0,0,-21.12,17.7,1160.201373,Monteith
2019.00,Jan,48.00,108.13,-68.63,86.03,-0.80,0,0,-21.66,17.82,1160.201373,Ondunduwazirapi
2019.00,Jan,39.50,108.13,0.00,86.02,0.00,0,0,-21.82,18.23,1160.201373,Steinhausen
2019.00,Jan,108.13,108.13,-108.13,85.99,-1.26,1,1,-21.14,18.79,1449,Otjinene ADC
2019.00,Jan,0.00,108.13,-106.43,85.99,-1.24,1,1,-21.03,15.48,1160.201373,Omatjette (closed)
2019.00,Jan,1.70,108.13,-81.13,85.97,-0.94,0,0,-21.22,15.73,1160.201373,Etendero
2019.00,Jan,27.00,108.13,-51.83,85.98,-0.60,0,0,-21.13,16.17,1160.201373,Eheratengua
2019.00,Jan,56.30,108.13,-84.13,86.00,-0.98,0,0,-21.04,16.22,1160.201373,Ombona
2019.00,Jan,24.00,108.13,-77.93,86.06,-0.91,0,0,-21.12,17.22,1160.201373,Otjikururume
2019.00,Jan,30.20,108.13,-45.63,86.09,-0.53,0,0,-21.2,17.82,1160.201373,Eureka
2019.00,Jan,62.50,108.13,-101.13,86.05,-1.18,1,1,-21.28,18.07,1160.201373,Kalidona
2019.00,Jan,7.00,108.13,-79.63,86.04,-0.93,0,0,-20.88,15.85,1160.201373,Eremutua (NE) 25
2019.00,Jan,28.50,108.13,-90.53,86.03,-1.05,1,1,-20.42,17.33,1460,Okomumbonde LSR
2019.00,Jan,17.60,108.13,-93.43,85.99,-1.09,1,1,-20.93,17.78,1160.201373,La Paloma
2019.00,Jan,14.70,108.13,-85.13,85.97,-0.99,0,0,-20.96,17.82,1160.201373,Donkerwater
2019.00,Jan,23.00,108.13,-52.13,85.94,-0.61,0,0,-19.81,15.18,1160.201373,Otjitambi
2019.00,Jan,56.00,108.13,-11.13,85.97,-0.13,0,0,-19.66,17.86,1160.201373,Awagobibtal
2019.00,Jan,97.00,108.13,-64.53,85.98,-0.75,0,0,-19.71,17.97,1160.201373,Otjirukaku
2019.00,Jan,43.60,108.13,0.00,85.99,0.00,0,0,-19.34,18.06,1160.201373,Grootfontein Town 91
2019.00,Jan,108.13,108.13,-39.83,85.97,-0.46,0,0,-19.48,17.19,1160.201373,Huttenhof
2019.00,Jan,68.30,108.13,0.00,85.98,0.00,0,0,-19.34,18.07,1160.201373,Ilmenau
2019.00,Jan,108.13,108.13,-79.33,85.98,-0.92,0,0,-19.45,18.41,1160.201373,Gaikos
2019.00,Jan,28.80,108.13,-47.13,85.98,-0.55,0,0,-19.4,18.61,1160.201373,Klein Huis
2019.00,Jan,61.00,108.13,-56.13,86.00,-0.65,0,0,-19.1,18.79,1160.201373,Wilde
2019.00,Jan,52.00,108.13,-68.13,86.01,-0.79,0,0,-18.19,16.38,1098,Onankali ADC
2019.00,Jan,40.00,108.13,-59.13,85.99,-0.69,0,0,-18.41,16.64,1099,Okashana ADC
2019.00,Jan,49.00,108.13,-62.63,85.96,-0.73,0,0,-18.73,17.58,1160.201373,Kakuse
2019.00,Jan,45.50,108.13,-69.03,85.98,-0.80,0,0,-18.86,18.13,1160.201373,Choantsas
2019.00,Jan,39.10,108.13,-88.63,86.00,-1.03,1,1,-18.92,18.3,1160.201373,Koukuas
2019.00,Jan,19.50,108.13,-66.13,86.00,-0.77,0,0,-18.79,18.93,1160.201373,Mururani
2019.00,Jan,42.00,108.13,0.00,85.96,0.00,0,0,-18.2,19.48,1166,Ncamagoro ADC
2019.00,Jan,108.13,108.13,0.00,85.94,0.00,0,0,-18.05,13.84,1165,Opuwo
2019.00,Jan,108.13,108.13,-75.13,85.94,-0.87,0,0,-17.91,15.35,1097,Onaanda ADC
2019.00,Jan,33.00,108.13,-63.63,85.99,-0.74,0,0,-18.12,15.54,1088,Engombe ADC
2019.00,Jan,44.50,108.13,0.00,86.04,0.00,0,0,-17.95,16.2,1094,Onayena ADC
2019.00,Jan,108.13,108.13,-40.83,86.04,-0.47,0,0,-17.79,16.46,1118,Epembe ADC
2019.00,Jan,67.30,108.13,0.00,86.13,0.00,0,0,-18.04,20.7,1160.201373,Ndiyona ADC
2019.00,Jan,108.13,108.13,-91.33,86.12,-1.06,1,1,-18.04,21.43,1160.201373,Mukwe ADC
2019.00,Jan,16.80,108.13,-77.23,86.12,-0.90,0,0,-17.52,14.63,1160.201373,Eunda ADC
2019.00,Jan,30.90,108.13,-94.83,86.09,-1.10,1,1,-17.59,14.68,1112,Onesi ADC
2019.00,Jan,13.30,108.13,-80.13,86.11,-0.93,0,0,-17.51,14.99,1115,Outapi ADC
2019.00,Jan,28.00,108.13,-108.13,86.13,-1.26,1,1,-17.67,15.47,1160.201373,Oshikuku (closed)
2019.00,Jan,0.00,108.13,0.00,86.10,0.00,0,0,-17.55,15.53,1101,Etayi ADC
2019.00,Jan,108.13,108.13,-56.13,86.02,-0.65,0,0,-17.91,15.7,1087,Ompundja ADC
2019.00,Jan,52.00,108.13,0.00,86.02,0.00,0,0,-17.61,15.74,1160.201373,Endola ADC
2019.00,Jan,108.13,108.13,-61.43,86.05,-0.71,0,0,-17.79,15.77,1099,Ongwediva ADC
2019.00,Jan,46.70,108.13,-45.23,86.06,-0.53,0,0,-17.88,15.95,1103,Ondangwa_Manual
2019.00,Jan,62.90,108.13,6.87,86.08,0.08,0,0,-17.52,16.05,1160.201373,Ondobe ADC
2019.00,Jan,115.00,108.13,-69.03,86.07,-0.80,0,0,-17.57,17.22,1160.201373,Okongo ADC
2019.00,Jan,39.10,108.13,0.00,86.07,0.00,0,0,-17.67,18.23,1160.201373,Mpungu ADC
2019.00,Jan,108.13,108.13,21.17,86.06,0.25,0,0,-17.68,18.66,1160.201373,Kahenge ADC
2019.00,Jan,129.30,108.13,-43.13,86.06,-0.50,0,0,-17.85,19.35,1160.201373,Bunja (Sambusu) Mission
2019.00,Jan,65.00,108.13,-63.33,86.07,-0.74,0,0,-17.87,19.53,1160.201373,Ruuga ADC
2019.00,Jan,44.80,108.13,10.37,86.11,0.12,0,0,-17.92,19.75,1160.201373,Rundu_Manual (closed)
2019.00,Jan,118.50,108.13,-66.13,86.09,-0.77,0,0,-17.9,20.21,1071,Mashare ADC
2019.00,Jan,42.00,108.13,-64.93,86.09,-0.75,0,0,-17.98,20.52,1160.201373,Ndonga-Linena ADC
2019.00,Jan,43.20,108.13,-34.13,86.06,-0.40,0,0,-17.97,23.45,963,Sachona ADC
2019.00,Jan,74.00,108.13,-12.13,86.04,-0.14,0,0,-17.78,23.82,956,Sibbinda ADC
2019.00,Jan,96.00,108.13,11.87,86.08,0.14,0,0,-17.71,24.53,1160.201373,Bukalo ADC
2019.00,Jan,120.00,108.13,14.67,86.13,0.17,0,0,-17.98,24.12,1160.201373,Chichimane ADC
2019.00,Jan,122.80,108.13,-75.13,86.13,-0.87,0,0,-17.92,24.71,1160.201373,Ngoma ADC
2019.00,Jan,33.00,108.13,-93.13,86.53,-1.08,1,1,-17.45,15.67,1102,Ongenga ADC
2019.00,Jan,15.00,108.13,-107.93,86.51,-1.25,1,1,-17.44,15.33,1102,Okalongo ADC
2020.00,Jan,0.20,108.13,0.00,86.47,0.00,0,0,-28.09,18.69,967,Bondels RG
2020.00,Jan,108.13,108.13,-108.13,86.42,-1.25,1,1,-28.45,18.73,1160.201373,Warmbad
2020.00,Jan,0.00,108.13,-72.63,86.42,-0.84,0,0,-28.02,18.75,1160.201373,Karasburg ADC
2020.00,Jan,35.50,108.13,-94.43,86.34,-1.09,1,1,-27.47,19.61,1160.201373,Snyrivier N (Nimmerrust)
2020.00,Jan,13.70,108.13,-103.33,86.35,-1.20,1,1,-27.21,18.97,1160.201373,Naos (Kharas)
2020.00,Jan,4.80,108.13,-107.53,86.31,-1.25,1,1,-26.93,17.94,730,Naute RG
2020.00,Jan,0.60,108.13,-108.13,86.23,-1.25,1,1,-26.58,18.12,1051,Keetmanshoop Res RG
2020.00,Jan,0.00,108.13,-103.63,86.19,-1.20,1,1,-26.54,18.11,1160.201373,Keetmanshoopt_Manual
2020.00,Jan,4.50,108.13,-106.43,86.14,-1.24,1,1,-26.8,19.65,963,Aroab ADC
