Month,Rainfall,Lat,Lon
Jan,4.5,-27.47,19.61
Jan,0,-27.21,18.97
Jan,0,-26.54,18.11
Jan,0,-25.6,16.35
Jan,0,-24.23,17.5
Jan,5,-23.53,17.99
Jan,2.8,-23.68,18.27
Jan,13.6,-23.67,18.39
Jan,15,-23.4,19.02
Jan,0,-22.98,14.65
Jan,0,-22.65,16.45
Jan,0,-22.57,16.78
Jan,0,-22.8,16.83
Jan,1.2,-22.61,17.08
Jan,33.6,-22.6,17.07
Jan,4.2,-22.57,17.09
Jan,10.5,-22.78,17.38
Jan,7,-22.83,17.78
Jan,0,-22.26,16.42
Jan,0,-22.21,16.53
Jan,21.9,-22.3,16.93
Jan,10.5,-22.5,17.4
Jan,16.5,-22.33,17.62
Jan,108.13,-21.98,17.22
Jan,38,-22.16,17.78
Jan,9.7,-22.26,18.15
Jan,2.5,-21.91,16.32
Jan,13.5,-21.63,16.48
Jan,17.9,-21.98,16.92
Jan,7,-21.7,17.7
Jan,32,-21.12,17.7
Jan,48,-21.66,17.82
Jan,39.5,-21.82,18.23
Jan,108.13,-21.14,18.79
Jan,0,-21.03,15.48
Jan,1.7,-21.22,15.73
Jan,27,-21.13,16.17
Jan,56.3,-21.04,16.22
Jan,24,-21.12,17.22
Jan,30.2,-21.2,17.82
Jan,62.5,-21.28,18.07
Jan,7,-20.88,15.85
Jan,28.5,-20.42,17.33
Jan,17.6,-20.93,17.78
Jan,14.7,-20.96,17.82
Jan,23,-19.81,15.18
Jan,56,-19.66,17.86
Jan,97,-19.71,17.97
Jan,43.6,-19.34,18.06
Jan,108.13,-19.48,17.19
Jan,68.3,-19.34,18.07
Jan,108.13,-19.45,18.41
Jan,28.8,-19.4,18.61
Jan,61,-19.1,18.79
Jan,52,-18.19,16.38
Jan,40,-18.41,16.64
Jan,49,-18.73,17.58
Jan,45.5,-18.86,18.13
Jan,39.1,-18.92,18.3
Jan,19.5,-18.79,18.93
Jan,42,-18.2,19.48
Jan,108.13,-18.05,13.84
Jan,108.13,-17.91,15.35
Jan,33,-18.12,15.54
Jan,44.5,-17.95,16.2
Jan,108.13,-17.79,16.46
Jan,67.3,-18.04,20.7
Jan,108.13,-18.04,21.43
Jan,16.8,-17.52,14.63
Jan,30.9,-17.59,14.68
Jan,13.3,-17.51,14.99
Jan,28,-17.67,15.47
Jan,0,-17.55,15.53
Jan,108.13,-17.91,15.7
Jan,52,-17.61,15.74
Jan,108.13,-17.79,15.77
Jan,46.7,-17.88,15.95
Jan,62.9,-17.52,16.05
Jan,115,-17.57,17.22
Jan,39.1,-17.67,18.23
Jan,108.13,-17.68,18.66
Jan,129.3,-17.85,19.35
Jan,65,-17.87,19.53
Jan,44.8,-17.92,19.75
Jan,118.5,-17.9,20.21
Jan,42,-17.98,20.52
Jan,43.2,-17.97,23.45
Jan,74,-17.78,23.82
Jan,96,-17.71,24.53
Jan,120,-17.98,24.12
Jan,122.8,-17.92,24.71
Jan,33,-17.45,15.67
Jan,15,-17.44,15.33
Jan,0.2,-28.09,18.69
Jan,108.13,-28.45,18.73
Jan,0,-28.02,18.75
Jan,35.5,-27.47,19.61
Jan,13.7,-27.21,18.97
Jan,4.8,-26.93,17.94
Jan,0.6,-26.58,18.12
Jan,0,-26.54,18.11
Jan,4.5,-26.8,19.65
Jan,1.7,-26.5,17.15
Jan,1.7,-26.5,17.15
Jan,24,-25.6,16.35
Jan,0.2,-25.72,16.55
Jan,3.5,-26,17.77
Jan,26,-25.88,18.13
Jan,26,-25.88,18.12
Jan,109.5,-25.94,19.12
Jan,6.5,-25.13,17.78
Jan,1.9,-25.38,19.1
Jan,26,-24.85,18.8
Jan,13.6,-24.19,17.03
Jan,22.2,-24.27,17.07
Jan,7.2,-24.04,17.12
Jan,15.2,-24.18,17.36
Jan,13.6,-24.05,17.4
Jan,108.13,-24.23,17.49
Jan,90.5,-24.23,17.5
Jan,14.8,-24.52,17.85
Jan,9.8,-24.36,17.57
Jan,7.6,-23.33,17.06
Jan,48,-23.92,18.05
Jan,29.7,-23.9,18.28
Jan,25,-23.67,18.39
Jan,9.5,-22.78,16.37
Jan,13.5,-22.65,16.45
Jan,23.5,-22.8,16.83
Jan,11.2,-22.53,17.08
Jan,12.4,-22.61,17.08
Jan,22.2,-22.6,17.07
Jan,18,-22.57,17.09
Jan,16.5,-22.78,17.38
Jan,65,-22.83,17.78
Jan,17.8,-22.26,16.42
Jan,48,-22.21,16.53
Jan,75.5,-22.3,16.93
Jan,68.8,-22.02,16.96
Jan,64.2,-22.07,17.18
Jan,42.6,-22.26,17.02
Jan,2.6,-22.46,17.24
Jan,74.6,-22.38,17.34
Jan,0.8,-22.5,17.4
Jan,55.4,-21.82,17.48
Jan,11.8,-22.23,17.54
Jan,57,-21.15,17.18
Jan,40,-22.17,17.63
Jan,15.4,-21.98,17.22
Jan,108.13,-22.16,17.78
Jan,84,-22.26,18.15
Jan,108.13,-22.42,18.48
Jan,29.6,-21.6,19.41
Jan,108.13,-21.91,16.32
Jan,52.4,-21.98,16.92
Jan,53.8,-21.69,17.06
Jan,23,-21.92,17.11
Jan,100.2,-21.35,17.14
Jan,71,-21.84,17.27
Jan,58.8,-22.99,17.39
Jan,70.4,-21.96,17.65
Jan,106,-21.7,17.7
Jan,80,-21.12,17.7
Jan,81.1,-21.66,17.82
Jan,94,-21.82,18.23
Jan,42.9,-21.03,15.48
Jan,16,-21.22,15.73
Jan,108.13,-21.42,15.95
Jan,108.13,-21.13,16.17
Jan,114.9,-21.04,16.22
Jan,83,-21.12,17.22
Jan,57,-21.2,17.82
Jan,108.13,-21.28,18.07
Jan,107.3,-21.41,18.16
Jan,108.13,-20.99,18.23
Jan,108.13,-20.61,20.85
Jan,47,-20.88,15.85
Jan,108.13,-20.7,16.83
Jan,108.5,-20.42,17.33
Jan,61.2,-20.93,17.78
Jan,108.13,-20.96,17.82
Jan,99.2,-20.25,20.83
Jan,88,-19.66,17.86
Jan,68,-19.71,17.97
Jan,125.4,-19.34,18.06
Jan,108.13,-19.31,18.15
Jan,108.13,-19.28,19.2
Jan,108.13,-19.5,19.63
Jan,128.5,-19.33,15.94
Jan,104,-19.35,17.13
Jan,108.13,-19.48,17.19
Jan,75,-19.45,18.41
Jan,31,-19.4,18.61
Jan,39.5,-19.1,18.79
Jan,257.9,-18.17,15.44
Jan,180,-18.73,17.58
Jan,108.13,-18.47,17.34
Jan,80.5,-18.86,18.13
Jan,95,-18.79,18.93
Jan,108.13,-17.89,15.07
Jan,31,-18.05,13.84
Jan,195,-17.91,15.35
Jan,61,-18.05,15.96
Jan,169,-17.91,15.97
Jan,108.13,-18.12,15.54
Jan,108.13,-17.72,16.14
Jan,235,-17.79,16.46
Jan,181,-18.04,20.7
Jan,64,-17.52,14.63
Jan,182.4,-17.59,14.68
Jan,108.13,-17.74,14.88
Jan,69.5,-17.51,14.99
Jan,126,-17.67,15.47
Jan,108.13,-17.91,15.7
Jan,239.5,-17.88,15.95
Jan,133.2,-17.52,16.05
Jan,169.5,-17.57,17.22
Jan,156.5,-17.67,18.23
Jan,108.13,-17.85,19.35
Jan,80.5,-17.92,19.75
Jan,215.5,-17.9,20.21
Jan,107.5,-17.98,20.52
Jan,108.13,-17.87,22.9
Jan,120.6,-17.97,23.45
Jan,90,-17.78,23.82
Jan,380.5,-17.71,24.53
Jan,183.4,-17.92,24.71
Jan,142.1,-17.44,15.33
Jan,157.9,-17.63,24.18
Jan,157.9,-17.49,24.28
Jan,158.8,-17.49,24.28
Jan,108.13,-17.49,24.32
Jan,86.8,-28.09,18.69
Jan,91.5,-28.02,18.75
Jan,88,-28.12,19.84
Jan,88.2,-27.47,19.61
Jan,44.2,-27.21,18.97
Jan,108.13,-26,16
Jan,69,-26.93,17.94
Jan,101.6,-26.58,18.12
Jan,133,-26.54,18.11
Jan,43.5,-26.8,19.65
Jan,54,-26.97,19.8
Jan,88.4,-26.5,17.15
Jan,88.4,-26.5,17.15
Jan,108.13,-25.6,16.35
Jan,125.3,-25.72,16.55
Jan,134.4,-26,17.77
Jan,80.4,-25.88,18.12
Jan,108.13,-25.94,19.12
Jan,150.9,-25.13,17.78
Jan,13.1,-25.38,19.1
Jan,138.5,-24.85,16.98
Jan,188,-24.62,17.97
Jan,144.5,-24.86,18.81
Jan,144.5,-24.85,18.8
Jan,104,-24.19,17.03
Jan,172.4,-24.27,17.07
Jan,90.4,-24.04,17.12
Jan,118.8,-24.18,17.36
Jan,108.4,-24.05,17.4
Jan,112.8,-24.23,17.49
Jan,127,-24.23,17.5
Jan,119,-24.52,17.85
Jan,140.8,-24.36,17.57
Jan,280,-24.14,19.12
Jan,108.13,-23.28,14.76
Jan,108.13,-23.53,17.99
Jan,228,-23.92,18.05
Jan,165.9,-23.68,18.27
Jan,209.1,-23.9,18.28
Jan,212,-23.67,18.39
Jan,108.13,-23.5,19.89
Jan,194.5,-23.32,17.09
Jan,18.5,-23.12,18.4
Jan,7.1,-22.98,14.65
Jan,57.8,-22.36,16.13
Jan,232.5,-22.78,16.37
Jan,223.5,-22.65,16.45
Jan,108.13,-22.57,16.78
Jan,108.13,-22.8,16.83
Jan,233.9,-22.08,16.94
Jan,251.1,-22.58,17.07
Jan,274,-22.61,17.08
Jan,44.2,-22.6,17.07
Jan,267.6,-22.57,17.09
Jan,267.6,-22.57,17.09
Jan,277.5,-22.78,17.38
Jan,277,-22.83,17.78
Jan,403,-22.45,18.96
Jan,10,-21.85,15.21
Jan,31.5,-21.58,15.45
Jan,160.8,-22.26,16.42
Jan,179.2,-22.21,16.53
Jan,108.13,-22.3,16.93
Jan,253,-22.02,16.96
Jan,308.5,-22.46,17.24
Jan,137.1,-21.98,16.92
Jan,255,-22.5,17.4
Jan,216,-21.15,17.18
Jan,251.8,-21.98,17.22
Jan,224,-22.16,17.78
Jan,313,-22.26,18.15
Jan,140,-22.42,18.48
Jan,280.7,-21.6,19.41
Jan,150,-21.84,20.75
Jan,20,-21.23,14.9
Jan,52.2,-21.36,15.37
Jan,151,-21.91,16.32
Jan,331.8,-21.98,16.92
Jan,209,-21.7,17.7
Jan,195,-21.12,17.7
Jan,108.13,-21.66,17.82
Jan,156.5,-21.82,18.23
Jan,252,-21.14,18.79
Jan,108.13,-21.7,19.13
Jan,108.13,-20.56,14.66
Jan,0,-20.95,14.83
Jan,180.6,-21.05,15.51
Jan,31.4,-21.22,15.73
Jan,132.5,-21.42,15.95
Jan,147.2,-21.04,16.22
Jan,366,-21.12,17.22
Jan,91,-21.2,17.82
Jan,265.5,-21.28,18.07
Jan,108.13,-21.41,18.16
Jan,337.7,-20.99,18.23
Jan,191.3,-20.61,20.85
Jan,108.13,-20.22,14.07
Jan,108.13,-20.38,14.97
Jan,0,-20.21,15.01
Jan,0,-20.47,15.27
Jan,108.13,-20.27,15.3
Jan,108.13,-20.11,16.15
Jan,129.5,-20.88,15.85
Jan,95,-20.46,16.65
Jan,345,-20.42,17.33
Jan,321.4,-20.93,17.78
Jan,390.8,-20.96,17.82
Jan,108.13,-20.41,18.22
Jan,108.13,-20.42,19.82
Jan,209.7,-20.25,20.83
Jan,3.2,-19.69,14.32
Jan,108.13,-19.8,14.54
Jan,51.5,-19.63,14.85
Jan,329.4,-20.45,16.63
Jan,413.5,-19.64,17.35
Jan,279.2,-19.56,18.11
Jan,184.5,-19.64,18.6
Jan,312,-19.6,20.5
Jan,7.4,-19.12,13.62
Jan,5.8,-19.06,14.35
Jan,108.13,-19.31,14.48
Jan,26,-19.8,14.82
Jan,108.13,-19.81,15.18
Jan,429.9,-19.42,17.43
Jan,287.2,-19.16,17.85
Jan,338,-19.66,17.86
Jan,255,-19.71,17.97
Jan,285.6,-19.34,18.06
Jan,212.1,-19.59,18.14
Jan,0,-19.31,18.15
Jan,108.13,-19.28,19.2
Jan,598,-19.5,19.63
Jan,22,-18.92,14.11
Jan,202.7,-19.18,15.92
Jan,276.2,-19.33,15.94
Jan,273.5,-19.35,17.13
Jan,306.5,-19.48,17.19
Jan,283,-19.45,18.41
Jan,140,-19.4,18.61
Jan,51,-19.1,18.79
Jan,108.13,-18.3,13.65
Jan,20,-18.06,13.84
Jan,82,-18.12,14.32
Jan,108.13,-18.17,15.44
Jan,97.2,-18.19,16.38
Jan,147.1,-18.81,16.94
Jan,108.13,-18.08,16.53
Jan,150,-18.41,16.64
Jan,108.13,-18.49,17.06
Jan,108.13,-18.73,17.58
Jan,295.3,-18.47,17.34
Jan,193,-18.86,18.13
Jan,230.5,-18.79,18.93
Jan,108.13,-18.2,19.48
Jan,108.13,-18.37,19.83
Jan,0,-17.89,15.07
Jan,108.13,-17.65,15.47
Jan,0.7,-17.86,13.03
Jan,108.13,-18.01,13.82
Jan,20,-18.05,13.84
Jan,79,-17.9,15.56
Jan,101,-17.79,15.61
Jan,80,-18.05,15.96
Jan,148,-18.02,15.92
Jan,108.13,-17.93,15.87
Jan,108.13,-17.43,16.71
Jan,136,-17.91,15.97
Jan,107,-18.12,15.54
Jan,163,-17.72,16.14
Jan,150,-17.95,16.2
Jan,108.13,-18.24,16.24
Jan,121,-17.79,16.46
Jan,108.13,-17.57,16.75
Jan,230,-17.54,17.72
Jan,265.5,-17.96,19.73
Jan,294,-17.9,19.81
Jan,349.8,-18.04,20.7
Jan,108.13,-18.04,21.43
Jan,105,-17.59,14.68
Jan,141.5,-17.74,14.88
Jan,125,-17.51,14.99
Jan,65,-17.55,15.53
Jan,48,-17.91,15.7
Jan,108.13,-17.99,15.69
Jan,78,-17.61,15.74
Jan,108.13,-17.79,15.77
Jan,108.13,-17.82,15.93
Jan,57.7,-17.88,15.95
Jan,57.7,-17.92,15.98
Jan,125.5,-17.52,16.05
Jan,108.13,-17.79,16.07
Jan,242.8,-17.67,18.23
Jan,197.1,-17.68,18.66
Jan,172,-17.84,19.05
Jan,108.13,-17.91,19.77
Jan,313.3,-17.9,20.21
Jan,287,-17.98,20.52
Jan,108.13,-17.82,23.4
Jan,175.8,-17.97,23.45
Jan,126.7,-17.78,23.82
Jan,108.13,-17.66,24.14
Jan,86.4,-17.71,24.53
Jan,224.5,-17.98,24.12
Jan,222.6,-17.92,24.71
Jan,0.7,-17.44,13.27
Jan,108.13,-17.44,14.43
Jan,108.13,-17.46,15.09
Jan,108.13,-17.45,15.67
Jan,157.5,-17.44,15.33
Jan,108.13,-17.45,15.89
Jan,108.13,-17.48,16.33
Jan,110.4,-17.63,24.18
Jan,54,-28.09,18.69
Jan,127.3,-28.02,18.75
Jan,71.5,-28.12,19.84
Jan,13.5,-27.47,19.61
Jan,130,-27.21,18.97
Jan,149.3,-26.54,18.11
Jan,108.13,-26.53,18.12
Jan,77.6,-26.8,19.65
Jan,54,-26.97,19.8
Jan,58.4,-26.5,17.15
Jan,99,-25.72,16.55
Jan,65.5,-25.88,18.12
Jan,93.5,-25.13,17.78
Jan,127,-25.38,19.1
Jan,120.5,-24.85,16.98
Jan,156.5,-24.62,17.97
Jan,45.5,-24.86,18.81
Jan,107.4,-24.14,19.12
Jan,2.9,-23.87,17.95
Jan,84,-23.92,18.05
Jan,248.6,-23.68,18.27
Jan,157.9,-23.9,18.28
Jan,204.5,-23.67,18.39
Jan,72.8,-23.5,19.89
Jan,120.5,-24.84,16.98
Jan,157,-23.32,17.09
Jan,9.4,-22.98,14.65
Jan,48.6,-22.36,16.13
Jan,108.13,-22.78,16.37
Jan,83.5,-22.65,16.45
Jan,16.1,-22.57,16.78
Jan,116.4,-22.08,16.94
Jan,108.13,-22.53,17.08
Jan,26.2,-22.61,17.08
Jan,109.6,-22.6,17.07
Jan,122.9,-22.57,17.09
Jan,108.13,-22.58,17.12
Jan,176.5,-22.78,17.38
Jan,205,-22.83,17.78
Jan,120.6,-22.45,18.96
Jan,0,-21.85,15.21
Jan,18.6,-21.58,15.45
Jan,63.9,-22.26,16.42
Jan,108.13,-22.21,16.53
Jan,112.8,-22.3,16.93
Jan,88.8,-21.98,16.92
Jan,148,-22.5,17.4
Jan,255.4,-22.16,17.78
Jan,115,-22.26,18.15
Jan,185.7,-21.6,19.41
Jan,28,-21.84,20.75
Jan,63.5,-21.23,14.9
Jan,0,-21.36,15.37
Jan,88.8,-21.98,16.92
Jan,161,-21.7,17.7
Jan,170.5,-21.12,17.7
Jan,43.5,-21.66,17.82
Jan,113,-21.82,18.23
Jan,187,-21.14,18.79
Jan,52.5,-20.56,14.66
Jan,9.5,-20.95,14.83
Jan,68.1,-21.05,15.51
Jan,33,-21.22,15.73
Jan,86.5,-21.42,15.95
Jan,133.1,-21.04,16.22
Jan,172.5,-21.12,17.22
Jan,126.3,-21.2,17.82
Jan,108.13,-21.28,18.07
Jan,109.7,-21.41,18.16
Jan,126.4,-20.99,18.23
Jan,126.2,-20.61,20.85
Jan,74.5,-20.38,14.97
Jan,19.7,-20.21,15.01
Jan,108.13,-20.47,15.27
Jan,108.13,-20.27,15.3
Jan,68.1,-20.11,16.15
Jan,77.5,-20.88,15.85
