Date,Temp_High (°C),Temp_Low (°C),Humidity (%),Atmospheric_Pressure (hPa),Wind_Speed (km/h),Wind_Direction,Precipitation (mm),Cloud_Cover (%),Storm_Occurrence,Storm_Severity,Visibility (km)
2024-01-01,26,21,76,1003,10,N,3.3,36,0,0,7.5
2024-01-02,23,16,71,1000,10,S,1.6,78,0,0,5.8
2024-01-03,32,24,80,1028,34,NE,0.6,28,0,0,8.5
2024-01-04,34,29,42,998,26,NE,0.2,25,0,0,8.7
2024-01-05,30,25,67,1015,34,S,1.1,1,0,0,9.7
2024-01-06,27,15,49,1005,22,S,0.4,83,0,0,5.8
2024-01-07,32,26,74,994,18,SW,2.5,14,0,0,8.8
2024-01-08,24,12,68,999,14,W,2.5,3,0,0,9.4
2024-01-09,26,15,54,992,18,SE,0.5,85,1,1,5.6
2024-01-10,29,15,72,1002,17,NW,1.4,49,0,0,7.3
2024-01-11,22,8,46,1019,34,S,0.5,37,0,0,8.0
2024-01-12,26,20,51,995,7,E,0.9,22,0,0,8.7
2024-01-13,30,20,88,1006,34,NE,2.5,58,0,0,6.6
2024-01-14,30,20,69,1008,10,S,0.6,89,1,1,5.4
2024-01-15,27,20,60,1024,33,E,1.6,74,1,1,6.0
2024-01-16,24,18,70,1015,12,E,3.4,27,0,0,8.0
2024-01-17,23,18,63,994,16,E,2.5,65,0,0,6.2
2024-01-18,27,17,59,1018,17,SW,1.1,7,0,0,9.4
2024-01-19,27,18,76,1026,15,SW,1.2,28,0,0,8.4
2024-01-20,22,9,43,1009,16,NW,0.1,10,0,0,9.5
2024-01-21,25,20,67,1010,5,NW,0.9,17,0,0,9.0
2024-01-22,24,13,83,999,21,E,4.2,54,0,0,6.5
2024-01-23,21,12,59,994,20,W,1.1,49,0,0,7.3
2024-01-24,27,18,63,1025,15,SW,1.6,13,0,0,9.0
2024-01-25,31,25,89,995,17,SE,0.7,73,0,0,6.2
2024-01-26,33,26,88,1015,22,E,6.5,98,0,0,3.8
2024-01-27,25,14,71,993,15,SE,5.1,8,0,0,8.6
2024-01-28,21,11,80,1028,32,SE,1.6,98,0,0,4.8
2024-01-29,31,25,75,1028,16,E,6.6,10,0,0,8.2
2024-01-30,24,14,73,1024,10,NE,1.6,62,0,0,6.6
2024-01-31,20,14,75,990,13,W,1.1,75,1,1,6.0
2024-02-01,31,25,41,1013,20,E,0.0,66,0,0,6.7
2024-02-02,29,23,54,1025,8,NW,0.7,52,0,0,7.3
2024-02-03,25,18,73,995,7,E,1.4,38,0,0,7.8
2024-02-04,32,26,75,1020,32,SW,1.9,77,1,1,5.8
2024-02-05,31,23,45,1009,20,E,0.2,55,0,0,7.2
2024-02-06,28,15,78,1013,28,NE,4.7,27,0,0,7.7
2024-02-07,20,10,81,1014,31,SW,1.8,74,0,0,5.9
2024-02-08,30,25,51,1025,30,NW,0.2,38,0,0,8.1
2024-02-09,30,18,42,1010,34,N,0.1,24,0,0,8.8
2024-02-10,34,23,84,1019,29,N,2.5,20,0,0,8.5
2024-02-11,29,15,57,1013,16,SE,1.1,9,0,0,9.3
2024-02-12,31,24,79,1019,15,W,5.0,42,0,0,6.9
2024-02-13,31,26,60,1011,9,SE,1.2,14,0,0,9.1
2024-02-14,34,25,54,1017,29,NE,1.1,82,1,2,5.7
2024-02-15,33,25,72,996,22,S,1.6,47,0,0,7.3
2024-02-16,33,19,74,1024,23,NW,2.8,85,1,1,5.2
2024-02-17,34,22,65,1017,27,W,0.3,20,0,0,8.9
2024-02-18,33,28,47,1003,27,NW,0.6,59,0,0,6.9
2024-02-19,22,8,75,999,10,N,1.9,95,0,0,4.9
2024-02-20,31,26,87,1005,26,SE,6.3,49,0,0,6.3
2024-02-21,26,18,69,1005,22,NW,4.1,22,0,0,8.1
2024-02-22,23,11,62,1020,30,N,2.0,12,0,0,9.0
2024-02-23,28,19,81,1014,10,NE,2.0,68,0,0,6.2
2024-02-24,22,16,83,1002,8,NE,2.2,3,0,0,9.4
2024-02-25,24,14,53,995,16,S,0.4,91,1,2,5.4
2024-02-26,22,13,53,998,23,NW,0.8,77,0,0,6.0
2024-02-27,26,20,41,1025,33,S,0.0,71,1,1,6.4
2024-02-28,24,17,76,1009,31,SW,2.1,8,0,0,9.2
2024-02-29,28,15,44,1007,33,W,0.5,34,0,0,8.2
2024-03-01,26,15,77,1010,6,NW,1.7,20,0,0,8.7
2024-03-02,21,10,84,993,21,NE,3.8,57,0,0,6.4
2024-03-03,23,13,80,1022,15,SE,4.3,17,0,0,8.3
2024-03-04,28,16,86,1016,15,N,5.6,96,1,2,4.1
2024-03-05,31,23,53,996,25,E,0.6,71,0,0,6.3
2024-03-06,33,21,78,995,20,S,1.1,80,1,2,5.8
2024-03-07,21,13,64,1004,6,E,0.6,42,0,0,7.8
2024-03-08,29,17,59,1007,6,NW,0.6,94,1,2,5.2
2024-03-09,28,15,41,1021,27,SE,0.0,97,0,0,5.2
2024-03-10,29,22,78,1000,12,S,0.7,5,0,0,9.6
2024-03-11,24,17,45,1009,17,E,0.2,85,1,1,5.7
2024-03-12,21,15,56,1013,14,W,2.2,77,0,0,5.7
2024-03-13,23,9,64,1004,12,SE,3.1,66,0,0,6.1
2024-03-14,31,24,67,996,34,N,0.2,11,0,0,9.4
2024-03-15,34,27,41,1010,8,W,0.3,99,0,0,5.0
2024-03-16,31,22,74,1015,19,SE,5.4,11,0,0,8.4
2024-03-17,26,17,76,1003,34,SW,0.6,65,0,0,6.6
2024-03-18,31,25,44,1026,5,S,0.3,1,0,0,9.9
2024-03-19,32,18,40,1010,15,NE,0.0,14,0,0,9.3
2024-03-20,27,17,79,1007,11,N,1.6,22,0,0,8.6
2024-03-21,34,25,51,994,21,NW,0.2,28,0,0,8.6
2024-03-22,22,12,75,992,31,W,4.3,80,0,0,5.1
2024-03-23,33,28,84,1012,24,W,5.3,95,1,1,4.2
2024-03-24,20,11,62,1015,28,E,1.9,6,0,0,9.3
2024-03-25,23,10,86,1026,22,S,10.4,93,1,1,3.3
2024-03-26,21,7,70,1013,26,NW,1.8,27,0,0,8.3
2024-03-27,27,21,50,1008,33,NE,0.4,13,0,0,9.3
2024-03-28,23,18,49,1014,26,SE,0.3,43,0,0,7.8
2024-03-29,21,7,42,1010,16,NE,0.1,29,0,0,8.5
2024-03-30,33,20,53,1001,13,S,2.0,80,1,2,5.6
2024-03-31,25,11,55,1022,9,S,1.3,31,0,0,8.2
2024-04-01,25,12,49,993,14,SW,0.4,69,0,0,6.5
2024-04-02,29,16,68,996,8,SW,1.1,87,1,1,5.4
2024-04-03,23,13,49,1011,9,NE,1.0,5,0,0,9.6
2024-04-04,25,13,51,1022,32,SE,0.2,26,0,0,8.7
2024-04-05,32,27,69,1006,32,NE,0.7,81,1,1,5.8
2024-04-06,34,20,80,1013,14,S,4.9,87,1,1,4.7
2024-04-07,21,13,40,1023,15,S,0.0,23,0,0,8.8
2024-04-08,29,24,44,1017,25,E,0.1,33,0,0,8.3
2024-04-09,31,19,59,1028,28,SW,1.4,39,0,0,7.8
2024-04-10,21,16,47,1011,14,NW,0.2,46,0,0,7.7
2024-04-11,29,22,82,1006,32,NW,3.0,78,0,0,5.5
2024-04-12,33,25,51,1023,12,NW,0.7,74,0,0,6.2
2024-04-13,23,11,40,995,6,E,0.0,85,1,1,5.8
2024-04-14,33,23,59,995,27,N,0.9,23,0,0,8.7
2024-04-15,34,20,67,1023,12,NW,0.7,64,0,0,6.7
2024-04-16,34,23,82,990,20,S,2.1,17,0,0,8.7
2024-04-17,27,15,76,999,31,E,6.4,43,0,0,6.6
2024-04-18,33,27,86,1010,26,NE,3.1,75,0,0,5.6
2024-04-19,26,12,76,994,9,SW,8.8,56,0,0,5.4
2024-04-20,31,19,51,991,31,SW,0.1,27,0,0,8.6
2024-04-21,28,21,76,1011,29,SE,1.5,70,0,0,6.2
2024-04-22,33,22,88,991,33,NE,4.8,22,0,0,7.9
2024-04-23,27,20,88,999,7,SE,13.8,84,1,1,3.0
2024-04-24,24,13,83,1023,16,E,0.7,33,0,0,8.2
2024-04-25,32,26,67,1005,17,W,1.8,10,0,0,9.1
2024-04-26,21,7,86,1028,17,NW,4.3,85,0,0,4.9
2024-04-27,34,24,54,1011,14,N,2.2,34,0,0,7.9
2024-04-28,24,17,45,1001,8,NE,0.2,92,1,1,5.4
2024-04-29,27,20,83,1013,13,NE,2.3,41,0,0,7.5
2024-04-30,29,16,59,1029,26,NE,0.5,27,0,0,8.6
2024-05-01,28,17,89,1027,28,SE,2.5,81,0,0,5.4
2024-05-02,31,22,53,999,27,E,0.8,77,0,0,6.0
2024-05-03,31,17,41,1024,31,NE,0.1,81,0,0,5.9
2024-05-04,31,20,48,1021,6,W,0.9,91,1,1,5.3
2024-05-05,32,19,76,996,23,NE,0.7,23,0,0,8.7
2024-05-06,28,23,59,1010,5,SW,0.7,7,0,0,9.5
2024-05-07,32,21,65,1009,29,NW,2.1,52,0,0,7.0
2024-05-08,34,24,68,1015,33,N,0.4,71,0,0,6.4
2024-05-09,32,18,40,993,11,NW,0.0,3,0,0,9.8
2024-05-10,20,7,74,1011,21,SW,5.1,90,1,2,4.5
2024-05-11,28,23,45,1004,7,SW,0.5,99,0,0,5.0
2024-05-12,26,18,76,1029,24,N,3.9,4,0,0,9.0
2024-05-13,28,15,44,1010,24,W,0.6,96,1,1,5.1
2024-05-14,27,19,72,1004,25,E,4.7,48,0,0,6.7
2024-05-15,20,6,88,1011,34,SW,4.6,97,0,0,4.2
2024-05-16,31,24,53,1017,7,E,0.3,29,0,0,8.5
2024-05-17,27,14,51,1003,7,SW,0.9,71,1,1,6.3
2024-05-18,27,21,81,1016,21,S,6.2,62,0,0,5.7
2024-05-19,34,26,59,1029,11,N,1.4,46,0,0,7.4
2024-05-20,30,20,89,1017,31,SW,6.0,25,0,0,7.6
2024-05-21,22,16,63,1015,30,S,2.5,56,0,0,6.7
2024-05-22,20,8,82,991,18,NW,5.2,36,0,0,7.2
2024-05-23,27,15,73,1014,21,SE,1.5,97,0,0,4.8
2024-05-24,22,17,64,992,22,S,2.9,6,0,0,9.1
2024-05-25,22,15,89,997,17,NE,1.6,39,0,0,7.7
2024-05-26,20,6,68,1022,24,SW,0.9,91,1,1,5.3
2024-05-27,30,17,78,1024,33,S,1.9,38,0,0,7.7
2024-05-28,24,15,70,995,24,E,3.1,61,0,0,6.3
2024-05-29,29,19,86,1028,25,SE,3.8,91,0,0,4.7
2024-05-30,26,18,82,1012,31,W,3.3,77,0,0,5.5
2024-05-31,29,15,89,1014,22,SW,2.7,52,0,0,6.9
2024-06-01,28,22,62,1008,8,NE,1.5,3,0,0,9.5
2024-06-02,31,19,83,994,5,W,1.2,81,1,1,5.7
2024-06-03,26,16,77,1000,22,S,0.9,24,0,0,8.6
2024-06-04,28,19,59,1001,5,W,1.9,6,0,0,9.3
2024-06-05,27,14,62,999,30,W,0.2,27,0,0,8.6
2024-06-06,31,26,84,997,30,SE,7.1,68,0,0,5.2
2024-06-07,21,12,55,1013,17,NW,1.2,66,0,0,6.5
2024-06-08,20,10,89,1017,24,W,2.3,94,0,0,4.8
2024-06-09,26,17,81,1025,24,W,0.1,19,0,0,9.0
2024-06-10,26,16,47,1026,27,SW,0.2,82,1,1,5.9
2024-06-11,33,23,89,1010,14,NW,2.8,10,0,0,8.9
2024-06-12,27,16,60,997,31,SE,0.2,66,0,0,6.7
2024-06-13,24,16,40,998,15,NE,0.0,86,0,0,5.7
2024-06-14,22,10,47,1004,13,S,1.0,6,0,0,9.5
2024-06-15,31,20,68,1029,13,SE,1.8,22,0,0,8.5
2024-06-16,27,14,71,1007,9,SE,5.1,60,0,0,6.0
2024-06-17,25,14,77,1009,30,N,1.3,70,0,0,6.2
2024-06-18,30,23,44,995,5,SE,0.1,33,0,0,8.3
2024-06-19,22,15,86,1001,21,NW,4.3,18,0,0,8.2
2024-06-20,20,8,61,991,26,N,2.3,57,0,0,6.7
2024-06-21,22,13,86,996,6,S,6.5,8,0,0,8.3
2024-06-22,24,16,73,1005,28,W,5.7,47,0,0,6.5
2024-06-23,34,22,40,992,17,SW,0.0,81,0,0,6.0
2024-06-24,33,23,65,992,13,SW,3.8,40,0,0,7.2
2024-06-25,22,16,82,1016,33,S,13.6,47,1,2,4.9
2024-06-26,20,12,49,1029,8,S,1.1,44,0,0,7.6
2024-06-27,24,16,69,1027,9,NW,1.0,24,0,0,8.6
2024-06-28,29,19,89,1022,15,E,3.2,77,1,1,5.5
2024-06-29,26,16,57,1017,28,W,1.6,24,0,0,8.5
2024-06-30,34,29,56,990,23,S,1.4,18,0,0,8.8
2024-07-01,33,21,65,997,25,SE,1.4,38,0,0,7.8
2024-07-02,26,16,47,1026,7,NW,1.3,78,1,1,5.8
2024-07-03,30,23,86,1021,16,SW,0.6,79,0,0,5.9
2024-07-04,28,15,79,1026,30,NE,2.7,26,0,0,8.2
2024-07-05,34,28,88,993,23,NW,4.3,73,0,0,5.5
2024-07-06,34,22,51,1019,23,SW,0.4,62,0,0,6.8
2024-07-07,29,15,66,995,17,N,3.8,67,0,0,5.9
2024-07-08,29,22,47,1008,32,NW,0.6,18,0,0,9.0
2024-07-09,31,22,64,1021,11,SW,1.8,27,0,0,8.3
2024-07-10,32,22,85,998,19,E,4.7,84,0,0,4.9
2024-07-11,22,8,43,1001,27,NW,0.2,77,0,0,6.1
2024-07-12,34,24,72,1000,11,NW,3.8,32,0,0,7.6
2024-07-13,26,18,40,1005,30,W,0.0,9,0,0,9.6
2024-07-14,20,13,58,990,12,S,0.2,82,1,1,5.9
